objid,ra,dec,u,g,r,i,z,veldisp,PetroRad_r,specobjid,redshift,deVRad_r,fracDev_r,expRad_r,SNoise,ptype,sclass
1.24E+18,195.055934,28.05328717,20.0486,18.07463,17.5831,17.29564,17.12518,0,10.48488,2.52E+18,0.02716134,13.28639,0.3447053,5.57706,12.10391,GALAXY,GALAXY
1.24E+18,195.0764268,28.05928791,19.60471,18.03475,17.45122,17.15465,17.01253,0,6.068497,2.52E+18,0.03324928,6.375986,0.1395812,2.885166,15.29751,GALAXY,GALAXY
1.24E+18,195.0431199,27.95906801,19.76697,18.02793,17.51078,17.23524,16.93896,0,5.827232,2.52E+18,0.02111432,8.43349,0.085513,3.635255,15.66896,GALAXY,GALAXY
1.24E+18,194.9490363,28.09788608,20.03379,18.44027,17.75051,17.39725,17.17986,0,4.581823,2.52E+18,0.02126406,4.587257,0.1543537,2.145145,12.25847,GALAXY,GALAXY
1.24E+18,194.9144886,27.85459842,18.26009,16.85169,16.19441,15.88418,15.78627,0,14.32591,2.52E+18,0.03134233,19.12287,0.4056717,7.100106,12.47761,GALAXY,GALAXY
1.24E+18,194.6839628,28.04896315,20.03438,18.21066,17.55451,17.20229,16.9656,0,7.106353,2.52E+18,0.0295911,8.356043,0.1781637,3.573308,12.63118,GALAXY,GALAXY
1.24E+18,195.0335801,27.77331811,18.49705,17.1547,16.89772,16.72731,16.63543,0,6.79944,2.52E+18,0.02892486,9.167628,0.2379713,3.877895,21.6893,GALAXY,GALAXY
1.24E+18,194.7912847,28.16449826,20.36849,18.16009,17.59629,17.29842,17.19918,0,6.967697,2.52E+18,0.02867174,10.57907,0.1501247,4.561939,10.56943,GALAXY,GALAXY
1.24E+18,194.6503324,27.87288817,19.47641,18.08342,17.39695,17.08869,16.83411,0,11.92105,2.52E+18,0.02366776,18.29707,0.02676393,6.321416,5.307519,GALAXY,GALAXY
1.24E+18,194.6894111,27.87995787,20.00197,18.38688,17.66625,17.34173,17.11739,0,5.231133,2.52E+18,0.0282389,5.116285,0.1737584,2.38137,12.34574,GALAXY,GALAXY
1.24E+18,195.2131505,28.04713891,18.47201,16.54981,15.85128,15.51661,15.34525,0,21.08697,2.52E+18,0.0211638,16.10263,1,5.776448,16.33334,GALAXY,GALAXY
1.24E+18,195.2735644,28.06205662,19.13371,17.70729,17.1803,16.91357,16.76915,0,5.020844,2.52E+18,0.02479465,4.505288,0.5853723,2.383823,17.25892,GALAXY,GALAXY
1.24E+18,195.3123189,28.52175465,18.44625,17.41726,17.11725,16.9079,16.88428,0,12.09223,2.26E+18,0.02813301,19.12099,0.06512091,6.038034,6.144579,GALAXY,GALAXY
1.24E+18,195.0592406,28.45806562,20.03637,18.43085,17.74685,17.44919,17.26569,0,8.244308,2.26E+18,0.02610259,10.77624,0.1325024,3.769132,7.572242,GALAXY,GALAXY
