objid,ra,dec,u,g,r,i,z,specobjid,redshift,ptype,sclass
1.24E+18,194.8685586,28.08538162,20.45658,17.91468,17.18814,16.98563,16.95446,2.52E+18,0.01240529,GALAXY,GALAXY
1.24E+18,194.9170941,27.85493715,18.34399,16.48263,15.71842,15.3391,15.06387,2.52E+18,0.01267187,GALAXY,GALAXY
1.24E+18,194.8328324,28.08429601,16.34787,14.31011,13.46193,13.07875,12.79139,2.52E+18,0.01527688,GALAXY,GALAXY
1.24E+18,195.0688287,27.96750722,17.0715,15.35325,14.60352,14.30967,14.06118,2.52E+18,0.01547031,GALAXY,GALAXY
1.24E+18,194.8828842,27.86129703,19.24175,17.68602,16.97915,16.64637,16.40629,2.52E+18,0.01554677,GALAXY,GALAXY
1.24E+18,194.8784344,27.8842072,16.71871,14.90006,14.09708,13.70045,13.39119,2.52E+18,0.01570999,GALAXY,GALAXY
1.24E+18,194.8135312,27.97072578,16.95064,15.13483,14.3546,13.94472,13.64875,2.52E+18,0.01608296,GALAXY,GALAXY
1.24E+18,195.0902881,27.89853849,19.00056,17.33656,16.6483,16.31091,16.04979,2.52E+18,0.01625898,GALAXY,GALAXY
1.24E+18,194.9082735,28.00100902,20.02048,18.52473,17.815,17.45256,17.2404,2.52E+18,0.01658908,GALAXY,GALAXY
1.24E+18,195.2269085,28.00763438,15.75418,13.84129,13.0523,12.62324,12.29495,2.52E+18,0.01662251,GALAXY,GALAXY
1.24E+18,194.8442554,27.89687281,17.68876,15.98286,15.20712,14.82565,14.59271,2.52E+18,0.01718794,GALAXY,GALAXY
1.24E+18,195.1289789,28.10839413,19.46225,17.90301,17.22421,16.85527,16.63794,2.52E+18,0.01728046,GALAXY,GALAXY
1.24E+18,195.0782304,27.93703698,17.79453,16.10835,15.44004,15.09211,14.85874,2.52E+18,0.01761597,GALAXY,GALAXY
1.24E+18,195.0380928,27.86647722,17.25395,15.92323,15.47515,15.25012,15.01966,2.52E+18,0.017733,GALAXY,GALAXY
1.24E+18,195.015613,27.96470569,19.10126,17.20739,16.40104,16.0264,15.91872,2.52E+18,0.01777885,GALAXY,GALAXY
1.24E+18,195.0773857,27.81552271,18.72937,16.9494,16.23274,15.90695,15.6581,2.52E+18,0.01788985,GALAXY,GALAXY
1.24E+18,195.1482176,28.14612473,17.21358,15.43914,14.73493,14.33715,14.0738,2.52E+18,0.01821857,GALAXY,GALAXY
1.24E+18,194.8543574,27.99672897,19.69301,17.60955,16.87941,16.5013,16.26829,2.52E+18,0.01828161,GALAXY,GALAXY
1.24E+18,194.8696812,28.04051361,18.20892,16.25861,15.43664,15.09642,14.84072,2.52E+18,0.01875564,GALAXY,GALAXY
1.24E+18,194.7302172,27.96470196,17.79579,16.04914,15.27351,14.88712,14.59222,2.52E+18,0.01889264,GALAXY,GALAXY
1.24E+18,194.9061895,28.16613182,18.71428,17.0093,16.29875,15.93774,15.68538,2.52E+18,0.01908395,GALAXY,GALAXY
1.24E+18,195.0614325,28.04129676,17.25021,15.43362,14.66767,14.24854,13.95206,2.52E+18,0.01912005,GALAXY,GALAXY
1.24E+18,194.7478132,27.93452169,18.87336,17.23716,16.53375,16.18737,15.95879,2.52E+18,0.01917685,GALAXY,GALAXY
1.24E+18,194.8866339,27.98359992,16.62116,14.83875,14.052,13.63551,13.35147,2.52E+18,0.01942776,GALAXY,GALAXY
1.24E+18,194.9900492,28.06509836,18.93341,17.28432,16.60643,16.25299,16.01452,2.52E+18,0.01948424,GALAXY,GALAXY
1.24E+18,195.0224571,28.02443894,17.81431,16.0978,15.43074,15.06492,14.82129,2.52E+18,0.01969106,GALAXY,GALAXY
1.24E+18,194.8392091,27.97356361,18.77449,17.0782,16.37422,16.0253,15.77668,2.52E+18,0.020206,GALAXY,GALAXY
1.24E+18,194.7115189,28.08401229,17.67232,15.91022,15.14639,14.76117,14.4755,2.52E+18,0.02026107,GALAXY,GALAXY
1.24E+18,194.8561893,27.97320254,17.87573,16.09023,15.29822,14.91355,14.64339,2.52E+18,0.0203301,GALAXY,GALAXY
1.24E+18,194.9977883,27.94057148,19.31632,17.94934,17.2512,16.92708,16.75276,2.52E+18,0.0203727,GALAXY,GALAXY
1.24E+18,195.0709416,28.0639111,17.85592,16.04005,15.27375,14.87119,14.58097,2.52E+18,0.02047269,GALAXY,GALAXY
1.24E+18,195.0262101,27.77576413,17.30174,15.45994,14.70037,14.30165,14.01007,2.52E+18,0.02060787,GALAXY,GALAXY
1.24E+18,195.0786682,28.00930721,19.51664,17.7935,17.04941,16.66047,16.3872,2.52E+18,0.02068225,GALAXY,GALAXY
1.24E+18,195.031143,27.95806953,19.76677,17.47298,17.06999,16.51571,16.44822,2.52E+18,0.02071731,GALAXY,GALAXY
1.24E+18,194.9342188,27.86767815,18.71951,17.17581,16.45364,16.10726,15.83935,2.52E+18,0.02080937,GALAXY,GALAXY
1.24E+18,194.9040408,27.8258041,18.57144,16.94903,16.2226,15.86418,15.59269,2.52E+18,0.02086743,GALAXY,GALAXY
1.24E+18,194.8970205,27.8636307,18.93044,17.26008,16.52156,16.17995,15.92107,2.52E+18,0.02098727,GALAXY,GALAXY
1.24E+18,195.0431199,27.95906801,19.76697,18.02793,17.51078,17.23524,16.93896,2.52E+18,0.02111432,GALAXY,GALAXY
1.24E+18,195.2131505,28.04713891,18.47201,16.54981,15.85128,15.51661,15.34525,2.52E+18,0.0211638,GALAXY,GALAXY
1.24E+18,195.0753999,27.95657329,17.26337,15.41986,14.64555,14.25042,13.97796,2.52E+18,0.02124036,GALAXY,GALAXY
1.24E+18,195.0185023,27.9875783,16.55103,14.71623,13.94687,13.56522,13.31371,2.52E+18,0.02125258,GALAXY,GALAXY
1.24E+18,195.1781325,27.97126237,16.56101,14.72975,13.9298,13.5151,13.21418,2.52E+18,0.02125549,GALAXY,GALAXY
1.24E+18,194.9490363,28.09788608,20.03379,18.44027,17.75051,17.39725,17.17986,2.52E+18,0.02126406,GALAXY,GALAXY
1.24E+18,194.7693238,27.91097966,17.76287,16.01769,15.25224,14.87086,14.5728,2.52E+18,0.02136191,GALAXY,GALAXY
1.24E+18,194.8109201,27.89559072,19.77842,18.08449,17.31917,16.94157,16.65337,2.52E+18,0.02137562,GALAXY,GALAXY
1.24E+18,195.0338618,27.97694093,14.38514,12.34633,11.52409,11.22058,10.84526,2.52E+18,0.02150175,GALAXY,GALAXY
1.24E+18,194.8340569,27.88599211,17.58059,15.90685,15.17795,14.81943,14.5238,2.52E+18,0.02162358,GALAXY,GALAXY
1.24E+18,195.0176933,28.1551073,19.61666,17.77264,17.11055,16.75231,16.54024,2.52E+18,0.02191547,GALAXY,GALAXY
1.24E+18,195.0229251,27.80759468,17.45842,15.50841,14.73891,14.33246,14.03118,2.52E+18,0.021926,GALAXY,GALAXY
1.24E+18,194.7831015,27.85496245,17.15058,15.26591,14.44699,14.01003,13.69229,2.52E+18,0.02192698,GALAXY,GALAXY
1.24E+18,194.8637728,27.78505255,19.19113,17.50492,16.78879,16.43806,16.15643,2.52E+18,0.02195326,GALAXY,GALAXY
1.24E+18,195.1859757,28.10063624,17.84306,16.07844,15.32229,14.93665,14.64726,2.52E+18,0.0220089,GALAXY,GALAXY
1.24E+18,194.8607997,27.99846915,18.09124,16.33075,15.57279,15.18918,14.90816,2.52E+18,0.02224383,GALAXY,GALAXY
1.24E+18,194.9321817,27.99468339,17.56027,15.73545,14.94331,14.53115,14.23392,2.52E+18,0.02225102,GALAXY,GALAXY
1.24E+18,194.9350191,27.91245479,16.6908,14.96003,14.165,13.763,13.46627,2.52E+18,0.02235104,GALAXY,GALAXY
1.24E+18,194.7114892,27.99554658,19.52582,17.93322,17.20323,16.881,16.67477,2.52E+18,0.02235485,GALAXY,GALAXY
1.24E+18,195.0379776,28.17039245,17.44305,15.47676,14.7029,14.28326,14.03902,2.52E+18,0.02252319,GALAXY,GALAXY
